msg_id,direction,timestamp_ns,latency_ns,packet_size,success,reason,cpu_percent,memory_bytes
1,recv,6795926497661,0,72,True,,0.0,29388800
2,recv,6795939090811,0,72,True,,0.0,29388800
3,recv,6795949056822,0,72,True,,0.0,29388800
4,recv,6795961746028,0,72,True,,0.0,29388800
5,recv,6795976272052,0,72,True,,0.0,29388800
6,recv,6795987819967,0,72,True,,0.0,29388800
7,recv,6795988235711,0,72,True,,0.0,29388800
8,recv,6796012036298,0,72,True,,0.0,29388800
9,recv,6796026350605,0,72,True,,0.0,29388800
10,recv,6796036303060,0,72,True,,0.0,29392896
11,recv,6796046671103,0,72,True,,0.0,29392896
12,recv,6796059111121,0,72,True,,0.0,29392896
13,recv,6796059359572,0,72,True,,0.0,29392896
14,recv,6796081427370,0,72,True,,0.0,29392896
15,recv,6796092476954,0,72,True,,0.0,29392896
16,recv,6796103680587,0,72,True,,0.0,29392896
17,recv,6796116968644,0,72,True,,0.0,29392896
18,recv,6796117162267,0,72,True,,0.0,29396992
19,recv,6796140699718,0,72,True,,0.0,29401088
20,recv,6796151087693,0,72,True,,0.0,29401088
21,recv,6796161966751,0,72,True,,0.0,29405184
22,recv,6796172815129,0,72,True,,0.0,29405184
23,recv,6796183316078,0,72,True,,0.0,29405184
24,recv,6796193895841,0,72,True,,0.0,29405184
25,recv,6796194092416,0,72,True,,0.0,29405184
26,recv,6796217471333,0,72,True,,0.0,29405184
27,recv,6796229716262,0,72,True,,81.4,29405184
28,recv,6796239983846,0,72,True,,0.0,29405184
29,recv,6796254944144,0,72,True,,0.0,29405184
30,recv,6796265270828,0,72,True,,0.0,29405184
31,recv,6796276135534,0,72,True,,0.0,29405184
32,recv,6796276407295,0,72,True,,0.0,29405184
33,recv,6796297131430,0,72,True,,48.2,29405184
34,recv,6796308936300,0,72,True,,0.0,29405184
35,recv,6796324230761,0,72,True,,0.0,29405184
36,recv,6796335357289,0,72,True,,0.0,29405184
37,recv,6796346377730,0,72,True,,0.0,29405184
38,recv,6796357027110,0,72,True,,0.0,29405184
39,recv,6796367761692,0,72,True,,0.0,29405184
40,recv,6796367990554,0,72,True,,0.0,29405184
41,recv,6796388841043,0,72,True,,0.0,29409280
42,recv,6796399787137,0,72,True,,0.0,29409280
43,recv,6796410062599,0,72,True,,0.0,29409280
44,recv,6796420871750,0,72,True,,0.0,29409280
45,recv,6796432189254,0,72,True,,0.0,29409280
46,recv,6796432495116,0,72,True,,0.0,29409280
47,recv,6796469059497,0,72,True,,0.0,29409280
48,recv,6796479654680,0,72,True,,0.0,29409280
49,recv,6796492497594,0,72,True,,0.0,29409280
50,recv,6796502993425,0,72,True,,0.0,29413376
51,recv,6796514134312,0,72,True,,0.0,29417472
52,recv,6796524444929,0,72,True,,0.0,29417472
53,recv,6796524691965,0,72,True,,0.0,29417472
54,recv,6796547879688,0,72,True,,0.0,29417472
55,recv,6796561758153,0,72,True,,0.0,29417472
56,recv,6796571991633,0,72,True,,0.0,29417472
57,recv,6796583132825,0,72,True,,0.0,29417472
58,recv,6796593068436,0,72,True,,0.0,29417472
59,recv,6796604794809,0,72,True,,0.0,29417472
60,recv,6796604944576,0,72,True,,0.0,29421568
61,recv,6796626668925,0,72,True,,0.0,29421568
62,recv,6796638142014,0,72,True,,0.0,29421568
63,recv,6796648355051,0,72,True,,0.0,29421568
64,recv,6796658907234,0,72,True,,0.0,29421568
65,recv,6796659122329,0,72,True,,0.0,29421568
66,recv,6796680399647,0,72,True,,0.0,29421568
67,recv,6796691539254,0,72,True,,0.0,29421568
68,recv,6796702218603,0,72,True,,0.0,29421568
