msg_id,direction,timestamp_ns,latency_ns,packet_size,success,reason,cpu_percent,memory_bytes
0,send,4250116905308,82741,69,True,,0.0,29421568
1,send,4250127508421,263288,69,True,,0.0,29421568
2,send,4250137929034,150521,69,True,,0.0,29421568
3,send,4250148538818,155380,69,True,,93.9,29421568
4,send,4250159846504,862909,69,True,,0.0,29425664
5,send,4250170774764,165470,69,True,,0.0,29425664
6,send,4250181242604,164895,69,True,,0.0,29425664
7,send,4250191756394,236128,69,True,,0.0,29425664
8,send,4250202654887,160138,69,True,,0.0,29425664
9,send,4250213647701,159099,69,True,,0.0,29425664
10,send,4250224184307,149915,69,True,,0.0,29425664
11,send,4250234530629,166039,69,True,,0.0,29425664
12,send,4250244954609,183344,69,True,,0.0,29425664
13,send,4250256274941,149827,69,True,,0.0,29425664
14,send,4250266689904,159624,69,True,,0.0,29425664
15,send,4250277352573,168431,69,True,,0.0,29425664
16,send,4250288672094,153398,69,True,,0.0,29425664
17,send,4250299045799,161336,69,True,,0.0,29425664
18,send,4250309684945,334130,69,True,,0.0,29425664
19,send,4250320183792,221060,69,True,,96.9,29425664
20,send,4250330926653,167498,69,True,,0.0,29429760
21,send,4250341376612,176239,69,True,,0.0,29429760
22,send,4250352014158,353007,69,True,,0.0,29429760
23,send,4250363157427,164521,69,True,,91.3,29429760
24,send,4250374461536,146838,69,True,,0.0,29429760
25,send,4250384940812,75649,69,True,,0.0,29429760
26,send,4250396255527,164753,69,True,,0.0,29429760
27,send,4250406940341,181841,69,True,,0.0,29429760
28,send,4250418378841,160180,69,True,,0.0,29429760
29,send,4250428780752,161763,69,True,,0.0,29429760
30,send,4250439909778,349171,69,True,,0.0,29429760
31,send,4250450263094,162601,69,True,,0.0,29429760
32,send,4250461156395,162245,69,True,,0.0,29429760
33,send,4250471610808,146635,69,True,,0.0,29429760
34,send,4250482222874,221939,69,True,,0.0,29429760
35,send,4250493059316,262501,69,True,,0.0,29429760
36,send,4250503921438,471948,69,True,,0.0,29429760
37,send,4250514732107,174708,69,True,,0.0,29429760
38,send,4250525444834,277600,69,True,,0.0,29429760
39,send,4250536789173,167705,69,True,,89.5,29429760
40,send,4250547336763,194940,69,True,,0.0,29429760
41,send,4250559149469,371936,69,True,,0.0,29433856
42,send,4250569878282,266262,69,True,,0.0,29433856
43,send,4250580823555,183171,69,True,,0.0,29433856
44,send,4250591430119,178651,69,True,,0.0,29433856
45,send,4250604478570,149321,69,True,,0.0,29433856
46,send,4250614884153,178214,69,True,,0.0,29433856
47,send,4250626186550,285584,69,True,,0.0,29433856
48,send,4250638594801,166169,69,True,,0.0,29433856
