msg_id,direction,timestamp_ns,latency_ns,packet_size,success,reason,cpu_percent,memory_bytes
0,send,8438435026547,253305,73,True,,0.0,29478912
1,send,8438445510100,205216,73,True,,0.0,29478912
2,send,8438457242531,214900,73,True,,0.0,29478912
3,send,8438468267390,90498,73,True,,0.0,29478912
4,send,8438478730863,100959,73,True,,0.0,29483008
5,send,8438491379148,562337,73,True,,0.0,29483008
6,send,8438505588296,521917,73,True,,0.0,29483008
7,send,8438517698775,155538,73,True,,0.0,29483008
8,send,8438528299184,377248,73,True,,0.0,29483008
9,send,8438539830556,391907,73,True,,0.0,29483008
10,send,8438556645517,546062,73,True,,0.0,29483008
11,send,8438567905219,110373,73,True,,0.0,29483008
12,send,8438579918743,613125,73,True,,0.0,29483008
13,send,8438590983295,174448,73,True,,0.0,29483008
14,send,8438607247709,254522,73,True,,0.0,29483008
15,send,8438618638566,129069,73,True,,41.6,29483008
16,send,8438644669587,1964983,73,True,,0.0,29483008
17,send,8438658455601,776568,73,True,,80.4,29483008
18,send,8438674614031,441130,73,True,,0.0,29483008
19,send,8438685237814,5812883,73,True,,0.0,29483008
20,send,8438696239094,406858,73,True,,0.0,29487104
21,send,8438707621512,94435,73,True,,0.0,29487104
22,send,8438717979704,329754,73,True,,0.0,29487104
23,send,8438729715775,165022,73,True,,0.0,29487104
24,send,8438740600185,186486,73,True,,0.0,29487104
25,send,8438754451485,169189,73,True,,0.0,29487104
26,send,8438765712657,158786,73,True,,0.0,29487104
27,send,8438776369812,290125,73,True,,0.0,29487104
28,send,8438788725124,162164,73,True,,0.0,29487104
29,send,8438799593759,158715,73,True,,92.1,29487104
30,send,8438813542542,189507,73,True,,0.0,29487104
31,send,8438824633051,370234,73,True,,0.0,29487104
32,send,8438837890235,200389,73,True,,0.0,29487104
33,send,8438857368362,192085,73,True,,0.0,29487104
34,send,8438873996390,165771,73,True,,0.0,29487104
35,send,8438887373511,197270,73,True,,0.0,29487104
36,send,8438898810773,218038,73,True,,0.0,29487104
37,send,8438910423901,197869,73,True,,0.0,29487104
38,send,8438921144452,192803,73,True,,0.0,29487104
39,send,8438933988365,173274,73,True,,0.0,29487104
40,send,8438944585904,171217,73,True,,0.0,29487104
41,send,8438960630717,172010,73,True,,0.0,29487104
42,send,8438972266248,558408,73,True,,0.0,29487104
43,send,8438983251248,169838,73,True,,0.0,29487104
44,send,8438994715482,159595,73,True,,0.0,29487104
45,send,8439012643139,176826,73,True,,0.0,29487104
46,send,8439033243723,166043,73,True,,0.0,29487104
47,send,8439054031171,172607,73,True,,0.0,29487104
48,send,8439074264405,167473,73,True,,0.0,29487104
49,send,8439095240231,158758,73,True,,0.0,29487104
50,send,8439115614639,163930,73,True,,49.1,29487104
51,send,8439136513003,319668,73,True,,0.0,29487104
52,send,8439157126931,172683,73,True,,0.0,29491200
53,send,8439177401476,200117,73,True,,0.0,29491200
54,send,8439197945515,164180,73,True,,0.0,29491200
55,send,8439211291503,166519,73,True,,0.0,29491200
56,send,8439222257809,166083,73,True,,0.0,29491200
57,send,8439232886829,154067,73,True,,0.0,29491200
58,send,8439243830460,483039,73,True,,0.0,29491200
59,send,8439257163951,171637,73,True,,0.0,29491200
60,send,8439268501785,504564,73,True,,0.0,29491200
61,send,8439279661215,167731,73,True,,0.0,29491200
62,send,8439290394085,201244,73,True,,0.0,29491200
63,send,8439310947562,164810,73,True,,0.0,29491200
64,send,8439331391797,171955,73,True,,0.0,29491200
65,send,8439341936006,163058,73,True,,0.0,29491200
66,send,8439362660585,194900,73,True,,0.0,29491200
67,send,8439373304075,510569,73,True,,0.0,29491200
68,send,8439384163478,175959,73,True,,97.1,29491200
69,send,8439404278463,323429,73,True,,0.0,29491200
70,send,8439424766012,146757,73,True,,0.0,29491200
71,send,8439435789995,415867,73,True,,0.0,29491200
72,send,8439446234719,169508,73,True,,0.0,29491200
73,send,8439462938658,1255768,73,True,,0.0,29491200
74,send,8439475046024,126610,73,True,,0.0,29491200
75,send,8439486444118,195117,73,True,,0.0,29491200
76,send,8439497175533,542130,73,True,,0.0,29491200
77,send,8439508298371,101049,73,True,,0.0,29491200
78,send,8439520461783,205650,73,True,,0.0,29491200
79,send,8439531234745,558046,73,True,,0.0,29491200
80,send,8439542313574,188449,73,True,,0.0,29491200
81,send,8439552963128,646480,73,True,,0.0,29491200
82,send,8439563794019,126477,73,True,,0.0,29491200
83,send,8439574905839,384923,73,True,,0.0,29491200
84,send,8439586061656,143463,73,True,,0.0,29495296
85,send,8439596799649,121286,73,True,,0.0,29495296
86,send,8439607779554,408469,73,True,,0.0,29495296
87,send,8439618092448,576672,73,True,,189.8,29495296
88,send,8439628951043,507207,73,True,,0.0,29495296
89,send,8439639750267,513896,73,True,,0.0,29495296
90,send,8439650804418,248820,73,True,,0.0,29495296
91,send,8439662228269,221516,73,True,,0.0,29495296
92,send,8439672754933,208283,73,True,,0.0,29495296
93,send,8439683297061,151578,73,True,,0.0,29495296
94,send,8439694233380,374406,73,True,,0.0,29495296
95,send,8439704968670,249258,73,True,,0.0,29495296
96,send,8439715938784,596273,73,True,,0.0,29495296
97,send,8439727058133,219846,73,True,,0.0,29495296
98,send,8439738788972,250176,73,True,,0.0,29495296
99,send,8439750818015,1471050,73,True,,0.0,29495296
100,send,8439763784075,238431,73,True,,0.0,29495296
101,send,8439775825485,5468577,73,True,,57.9,29495296
