msg_id,direction,timestamp_ns,latency_ns,packet_size,success,reason,cpu_percent,memory_bytes
0,send,8679289744204,295252,70,True,,0.0,29532160
1,send,8679301051554,492353,70,True,,0.0,29532160
2,send,8679311959200,103276,70,True,,0.0,29532160
3,send,8679322507253,387270,70,True,,0.0,29532160
4,send,8679333233877,311724,70,True,,0.0,29536256
5,send,8679343675811,114634,70,True,,0.0,29536256
6,send,8679354075882,391371,70,True,,0.0,29536256
7,send,8679364578063,145774,70,True,,0.0,29536256
8,send,8679375038874,458394,70,True,,0.0,29536256
9,send,8679385774803,146719,70,True,,0.0,29536256
10,send,8679397299698,373282,70,True,,0.0,29536256
11,send,8679407798183,118956,70,True,,97.3,29536256
12,send,8679418134407,625558,70,True,,0.0,29536256
13,send,8679428574892,101723,70,True,,0.0,29536256
14,send,8679438983262,156138,70,True,,0.0,29536256
15,send,8679449439698,147548,70,True,,0.0,29536256
16,send,8679460808700,187141,70,True,,0.0,29536256
17,send,8679471373820,205783,70,True,,0.0,29536256
18,send,8679482469868,144621,70,True,,0.0,29536256
19,send,8679492798517,153384,70,True,,0.0,29536256
20,send,8679503736252,434283,70,True,,0.0,29540352
21,send,8679514236343,161462,70,True,,0.0,29540352
22,send,8679524818904,167670,70,True,,0.0,29540352
23,send,8679535567571,183775,70,True,,0.0,29540352
24,send,8679545991345,159028,70,True,,0.0,29540352
25,send,8679556607707,166075,70,True,,94.2,29540352
26,send,8679567888432,380963,70,True,,0.0,29540352
27,send,8679578289029,151352,70,True,,0.0,29540352
28,send,8679589299614,183336,70,True,,0.0,29540352
29,send,8679600423055,176330,70,True,,0.0,29540352
30,send,8679610931172,90583,70,True,,0.0,29540352
31,send,8679621283613,382415,70,True,,0.0,29540352
32,send,8679632542231,132714,70,True,,0.0,29540352
33,send,8679643300620,158376,70,True,,0.0,29540352
34,send,8679653744265,162835,70,True,,0.0,29540352
35,send,8679664893862,173480,70,True,,0.0,29540352
36,send,8679676025441,392602,70,True,,0.0,29540352
37,send,8679686447776,191027,70,True,,0.0,29540352
38,send,8679698149307,189942,70,True,,0.0,29540352
39,send,8679708583268,161468,70,True,,0.0,29540352
40,send,8679719114843,259644,70,True,,0.0,29540352
41,send,8679729679473,179814,70,True,,0.0,29544448
42,send,8679740122942,178511,70,True,,0.0,29544448
43,send,8679750766008,166137,70,True,,94.1,29544448
44,send,8679761837650,146121,70,True,,0.0,29544448
45,send,8679772655301,170198,70,True,,0.0,29544448
46,send,8679783488422,839302,70,True,,0.0,29544448
47,send,8679794699907,192453,70,True,,0.0,29544448
48,send,8679806051639,161238,70,True,,0.0,29544448
49,send,8679816651173,612794,102,True,,0.0,29753344
50,send,8679827767637,147428,70,True,,0.0,29753344
51,send,8679838924157,159638,70,True,,0.0,29753344
52,send,8679849344011,492897,70,True,,0.0,29757440
53,send,8679860171970,219019,70,True,,0.0,29757440
54,send,8679870757406,184097,70,True,,0.0,29757440
55,send,8679881534398,158704,70,True,,0.0,29757440
56,send,8679892713407,250382,70,True,,0.0,29757440
57,send,8679904289363,168411,70,True,,0.0,29757440
58,send,8679915544717,161289,70,True,,0.0,29757440
59,send,8679925960081,176004,70,True,,0.0,29757440
60,send,8679936488958,162863,70,True,,0.0,29757440
61,send,8679946885727,159250,70,True,,0.0,29757440
62,send,8679957480862,159131,70,True,,0.0,29757440
63,send,8679967969534,624934,70,True,,90.6,29757440
64,send,8679979010915,155615,70,True,,0.0,29757440
65,send,8679989516459,169607,70,True,,0.0,29757440
