msg_id,direction,timestamp_ns,latency_ns,packet_size,success,reason,cpu_percent,memory_bytes
0,send,9244399273556,59076,73,True,,0.0,29593600
1,send,9244409655207,107739,73,True,,95.4,29593600
2,send,9244420516474,76948,73,True,,0.0,29593600
3,send,9244431302018,254251,73,True,,0.0,29593600
4,send,9244442993235,76187,73,True,,0.0,29597696
5,send,9244454915863,68121,73,True,,0.0,29597696
6,send,9244473860916,65912,73,True,,0.0,29597696
7,send,9244484668976,69266,73,True,,0.0,29597696
8,send,9244494986160,74713,73,True,,0.0,29597696
9,send,9244505464308,63500,73,True,,0.0,29597696
10,send,9244515954886,83676,73,True,,0.0,29597696
11,send,9244526999653,138308,73,True,,0.0,29597696
12,send,9244537467841,68517,73,True,,0.0,29597696
13,send,9244548004381,79504,73,True,,0.0,29597696
14,send,9244558573228,77496,73,True,,94.4,29597696
15,send,9244569123776,63295,73,True,,0.0,29597696
16,send,9244579838945,83486,73,True,,0.0,29597696
17,send,9244590820321,78803,73,True,,0.0,29597696
18,send,9244601613388,150128,73,True,,0.0,29597696
19,send,9244612236429,81717,73,True,,0.0,29597696
20,send,9244622653118,80275,73,True,,0.0,29601792
21,send,9244633220801,87150,73,True,,0.0,29601792
22,send,9244644034070,83965,73,True,,0.0,29601792
23,send,9244655113625,86881,73,True,,0.0,29601792
24,send,9244666192802,82363,73,True,,0.0,29601792
25,send,9244676849896,124727,73,True,,0.0,29601792
26,send,9244687429223,76591,73,True,,0.0,29601792
27,send,9244698034861,70584,73,True,,0.0,29601792
28,send,9244708668479,105092,73,True,,0.0,29601792
29,send,9244719309574,83762,73,True,,0.0,29601792
30,send,9244730255280,87980,73,True,,0.0,29601792
31,send,9244740703890,65466,73,True,,0.0,29601792
32,send,9244751615821,67023,73,True,,0.0,29601792
33,send,9244762141663,86076,73,True,,0.0,29601792
34,send,9244773148541,74942,73,True,,0.0,29601792
35,send,9244783902947,77389,73,True,,0.0,29601792
36,send,9244794471012,59559,73,True,,0.0,29601792
37,send,9244804906719,84731,73,True,,0.0,29601792
38,send,9244815486329,65989,73,True,,0.0,29601792
39,send,9244826486261,95785,73,True,,0.0,29601792
40,send,9244837031738,137786,73,True,,0.0,29601792
41,send,9244847490073,88496,73,True,,0.0,29601792
42,send,9244858499782,89668,73,True,,0.0,29601792
43,send,9244869115455,67081,73,True,,0.0,29601792
44,send,9244879677200,80768,73,True,,0.0,29601792
45,send,9244890540470,80116,73,True,,0.0,29601792
46,send,9244901208453,81098,73,True,,93.7,29601792
47,send,9244912387155,82825,73,True,,0.0,29601792
