msg_id,direction,timestamp_ns,latency_ns,packet_size,success,reason,cpu_percent,memory_bytes
0,send,4156860499894,81234,69,True,,0.0,29466624
1,send,4156875476506,399983,69,True,,0.0,29466624
2,send,4156885841009,398953,69,True,,0.0,29466624
3,send,4156896476525,454398,69,True,,0.0,29466624
4,send,4156907455073,101936,69,True,,0.0,29466624
5,send,4156918248278,383765,69,True,,0.0,29466624
6,send,4156928591335,145535,69,True,,0.0,29466624
7,send,4156939509822,131975,69,True,,0.0,29466624
8,send,4156950336139,383824,69,True,,0.0,29466624
9,send,4156961217016,152255,69,True,,0.0,29466624
10,send,4156971675192,422701,69,True,,0.0,29466624
11,send,4156982564988,138769,69,True,,0.0,29466624
12,send,4156992907203,393392,69,True,,0.0,29466624
13,send,4157003519466,91139,69,True,,0.0,29466624
14,send,4157015571972,100463,69,True,,0.0,29466624
15,send,4157027027105,113062,69,True,,0.0,29466624
16,send,4157037689223,635170,69,True,,0.0,29466624
17,send,4157047890223,95072,69,True,,0.0,29466624
18,send,4157058446602,481593,69,True,,0.0,29466624
19,send,4157070495570,1704553,69,True,,74.7,29466624
20,send,4157083251398,155865,69,True,,0.0,29470720
21,send,4157094409795,167795,69,True,,0.0,29470720
22,send,4157107393930,302401,69,True,,0.0,29470720
23,send,4157120302239,253227,69,True,,48.0,29470720
24,send,4157140056841,437867,69,True,,0.0,29470720
25,send,4157152654198,160969,69,True,,0.0,29470720
26,send,4157163073092,168152,69,True,,0.0,29470720
27,send,4157174195560,168379,69,True,,0.0,29470720
28,send,4157186676472,171755,69,True,,0.0,29470720
29,send,4157199042180,162793,69,True,,0.0,29470720
30,send,4157211560802,172895,69,True,,0.0,29470720
31,send,4157223244494,220010,69,True,,0.0,29470720
32,send,4157235110124,170958,69,True,,0.0,29470720
33,send,4157245698479,167378,69,True,,94.4,29470720
34,send,4157256902473,246790,69,True,,0.0,29470720
35,send,4157267698845,169467,69,True,,0.0,29470720
36,send,4157278172112,169743,69,True,,0.0,29470720
37,send,4157289058182,199832,69,True,,0.0,29470720
38,send,4157300469497,90775,69,True,,0.0,29470720
39,send,4157313127443,163949,69,True,,0.0,29470720
40,send,4157324283379,159505,69,True,,0.0,29470720
41,send,4157335825639,647254,69,True,,0.0,29474816
42,send,4157346243460,178365,69,True,,0.0,29474816
43,send,4157357333168,168911,69,True,,0.0,29474816
44,send,4157367869494,426201,69,True,,0.0,29474816
45,send,4157378327508,164829,69,True,,0.0,29474816
46,send,4157389019477,232306,69,True,,0.0,29474816
47,send,4157399483717,210407,69,True,,0.0,29474816
48,send,4157410064515,161063,69,True,,0.0,29474816
49,send,4157422656570,426459,101,True,,0.0,29683712
50,send,4157436494976,266528,69,True,,72.9,29683712
51,send,4157449171707,167307,69,True,,0.0,29683712
52,send,4157462028364,171726,69,True,,0.0,29687808
53,send,4157472916483,215361,69,True,,0.0,29687808
54,send,4157483750660,691007,69,True,,0.0,29687808
55,send,4157494331929,146658,69,True,,0.0,29687808
56,send,4157507164242,411954,69,True,,0.0,29687808
57,send,4157517453901,153861,69,True,,0.0,29687808
58,send,4157527876144,389105,69,True,,0.0,29687808
59,send,4157538178236,228701,69,True,,0.0,29691904
60,send,4157548618743,405820,69,True,,0.0,29691904
61,send,4157558863275,99177,69,True,,0.0,29691904
62,send,4157569324902,369708,69,True,,0.0,29691904
63,send,4157580304762,165599,69,True,,0.0,29691904
64,send,4157590800205,199020,69,True,,0.0,29691904
65,send,4157601465766,159711,69,True,,0.0,29691904
66,send,4157613794717,202810,69,True,,0.0,29691904
67,send,4157629044011,207396,69,True,,0.0,29691904
68,send,4157639618093,187196,69,True,,0.0,29691904
69,send,4157650494981,167985,69,True,,92.2,29691904
70,send,4157660916276,166719,69,True,,0.0,29691904
71,send,4157673153969,173679,69,True,,0.0,29691904
72,send,4157683666657,351802,69,True,,0.0,29691904
73,send,4157694061801,390999,69,True,,0.0,29691904
74,send,4157705435462,226849,69,True,,0.0,29691904
75,send,4157716449703,406744,69,True,,0.0,29691904
76,send,4157727349746,96186,69,True,,0.0,29691904
77,send,4157739541281,461310,69,True,,0.0,29700096
78,send,4157750129302,134203,69,True,,0.0,29700096
79,send,4157760576308,173138,69,True,,0.0,29704192
80,send,4157772631665,454021,69,True,,0.0,29704192
